Date, Open, High, Low, Close, Volume,Company
12/27/2023,208,208,208,208,700,WTK
12/22/2023,208.5,208.5,208.5,208.5,100,WTK
12/21/2023,208,208,200,203,600,WTK
12/19/2023,199.5,199.5,199.5,199.5,10000,WTK
12/14/2023,209,209,208.25,208.5,700,WTK
12/13/2023,209,209,208.25,209,2600,WTK
12/11/2023,209,209,209,209,400,WTK
12/08/2023,230,230,209,219.5,200,WTK
12/07/2023,231,231.5,231,231.5,1500,WTK
12/06/2023,232,232,231,231.25,3900,WTK
12/05/2023,232,232,231.75,232,3400,WTK
12/04/2023,232,232,231.75,232,1800,WTK
12/01/2023,231.75,231.75,231.75,231.75,200,WTK
11/30/2023,231.5,231.5,231,231.25,2600,WTK
11/28/2023,231.25,231.5,231.25,231.5,2900,WTK
11/27/2023,230,233.75,229,231.75,1500,WTK
11/24/2023,233,233,233,233,700,WTK
11/22/2023,229.5,229.5,229.5,229.5,700,WTK
11/21/2023,229,236.75,229,234.5,1500,WTK
11/20/2023,230,230,220,225,200,WTK
11/17/2023,203.5,229,203.5,223,1300,WTK
11/15/2023,226.5,226.5,206,221.5,1200,WTK
11/14/2023,206,206,206,206,1000,WTK
11/09/2023,210,210.5,194,208,2100,WTK
11/08/2023,193.5,193.5,193.5,193.5,100,WTK
11/07/2023,215,215,215,215,600,WTK
11/03/2023,210,210,210,210,100,WTK
11/02/2023,205,205,205,205,3000,WTK
11/01/2023,205.5,205.5,205.5,205.5,100,WTK
10/31/2023,228.25,228.25,228.25,228.25,6300,WTK
10/30/2023,228.25,228.75,228.25,228.5,1500,WTK
10/27/2023,220,228.75,220,228.25,1400,WTK
10/26/2023,229,229,228.75,229,300,WTK
10/25/2023,215,215,215,215,700,WTK
10/24/2023,220,220,201,208.25,2400,WTK
10/23/2023,230,230,220,222.5,800,WTK
10/18/2023,220,220,220,220,200,WTK
10/17/2023,220,220,220,220,700,WTK
10/16/2023,220,220,220,220,12500,WTK
10/13/2023,220,220,220,220,1100,WTK
10/12/2023,225,225,224.5,224.75,900,WTK
10/11/2023,222,225,222,224.75,800,WTK
10/09/2023,220,220,220,220,1100,WTK
10/06/2023,220,228,220,220.75,2500,WTK
10/05/2023,228,228,228,228,300,WTK
10/04/2023,229.5,229.5,229.5,229.5,200,WTK
10/03/2023,205,219,205,212,400,WTK
09/29/2023,205,205,205,205,200,WTK
09/28/2023,200,200,200,200,2200,WTK
09/27/2023,200,205,200,200.25,3700,WTK
09/26/2023,203,203,200,201,2300,WTK
09/25/2023,200,200,200,200,36000,WTK
09/21/2023,205,205,202,204.5,500,WTK
09/20/2023,205,205,200,202,1000,WTK
09/19/2023,202,202,200,202,2200,WTK
09/18/2023,205,205,200,203,500,WTK
09/15/2023,205,205,205,205,500,WTK
09/14/2023,200,200,200,200,100,WTK
09/13/2023,206,206,200,202.5,1300,WTK
09/12/2023,200,205,200,202.5,200,WTK
09/08/2023,198,200,198,199,200,WTK
09/07/2023,198,198,198,198,200,WTK
09/06/2023,196,196,196,196,100,WTK
09/05/2023,200,200,190,196,500,WTK
09/04/2023,205.75,205.75,200,204.75,600,WTK
09/01/2023,205,205,190,192.5,3900,WTK
08/31/2023,190,204.5,190,192.25,1300,WTK
08/30/2023,205.75,205.75,205.75,205.75,200,WTK
08/29/2023,185.25,190,185.25,189,900,WTK
08/28/2023,190,190,185.25,185.5,3500,WTK
08/25/2023,205.75,205.75,205.75,205.75,200,WTK
08/24/2023,230,230,220.75,228.5,2500,WTK
08/23/2023,251.5,251.5,233.5,245.25,3700,WTK
08/22/2023,245,255,245,251.5,1600,WTK
08/21/2023,240,245,230,233.5,6300,WTK
08/18/2023,250,250,240,243.75,3200,WTK
08/17/2023,243,243,242,242.5,800,WTK
08/16/2023,260,260,245,253.25,800,WTK
08/15/2023,272,272,260,265,33300,WTK
08/11/2023,270,275,269,270.75,3300,WTK
08/10/2023,274.75,274.75,270,270.5,1100,WTK
08/09/2023,269,270,269,269.75,1400,WTK
08/08/2023,260,274.75,260,269,5000,WTK
08/07/2023,250,260,250,256,2500,WTK
08/04/2023,250,250,247.75,250,3000,WTK
08/03/2023,245,248,245,247.75,1500,WTK
08/02/2023,245,245,245,245,400,WTK
08/01/2023,242,242,242,242,500,WTK
07/31/2023,238,239.75,238,239.25,2800,WTK
07/28/2023,237.75,237.75,237.75,237.75,400,WTK
07/27/2023,237,239.75,237,238.25,6800,WTK
07/26/2023,235,237.75,235,236,600,WTK
07/25/2023,235,235,231,234.75,2200,WTK
07/24/2023,239.75,239.75,235,238.5,400,WTK
07/21/2023,235,235,235,235,4200,WTK
07/20/2023,235,235,235,235,500,WTK
07/19/2023,235,239.75,235,238.25,300,WTK
07/18/2023,240,240,240,240,200,WTK
07/17/2023,236,245,236,243,30800,WTK
07/14/2023,230,239.75,230,236,4100,WTK
07/13/2023,235,235,230,234.75,3200,WTK
07/12/2023,235,235,230,231.75,300,WTK
07/11/2023,239.75,239.75,230,236.75,3600,WTK
07/10/2023,240,240,240,240,1900,WTK
07/07/2023,245,245,230,240,1800,WTK
07/06/2023,250,250,231.5,236,2600,WTK
07/05/2023,245,250,245,247.75,4500,WTK
07/04/2023,245,249,245,246,4700,WTK
07/03/2023,245,245,245,245,1400,WTK
06/30/2023,235,248,235,244.25,400,WTK
06/29/2023,228.75,240,223,232.75,8100,WTK
06/27/2023,208,208,208,208,1100,WTK
06/26/2023,210,210,210,210,6700,WTK
06/22/2023,206,222,204.25,208,1500,WTK
06/21/2023,204,204,204,204,100,WTK
06/20/2023,203.75,203.75,202,202,1600,WTK
06/19/2023,200,203,200,202.5,2600,WTK
06/16/2023,195,201,195,199.25,3300,WTK
06/15/2023,195,195,195,195,200,WTK
06/14/2023,190,199,190,194.5,200,WTK
06/13/2023,195,195,195,195,200,WTK
06/12/2023,194,199,194,197.5,2200,WTK
06/09/2023,186,186,186,186,400,WTK
06/07/2023,185,185,181,183,200,WTK
06/06/2023,185,185,185,185,200,WTK
06/05/2023,185,185,185,185,400,WTK
06/02/2023,180,185,180,182,1300,WTK
05/31/2023,180,180,180,180,300,WTK
05/30/2023,185,185,185,185,100,WTK
05/29/2023,181,181,181,181,100,WTK
05/26/2023,172,172,172,172,100,WTK
05/24/2023,171,171,171,171,600,WTK
05/23/2023,171,171,170,170.25,1500,WTK
05/22/2023,171,171,170,170.5,4000,WTK
05/16/2023,170,170.25,170,170,1800,WTK
05/15/2023,170,170,170,170,700,WTK
05/12/2023,170.5,170.5,170.5,170.5,1400,WTK
05/11/2023,170.5,170.5,170.5,170.5,100,WTK
05/10/2023,181,181,181,181,200,WTK
05/09/2023,177,177,177,177,100,WTK
05/08/2023,170.5,170.5,170,170,3000,WTK
05/05/2023,170.5,170.5,170.5,170.5,400,WTK
05/04/2023,170,170,170,170,400,WTK
05/03/2023,185,185,185,185,1100,WTK
05/02/2023,185,185,185,185,200,WTK
04/17/2023,170,170,165,169.5,1100,WTK
04/14/2023,170,170,170,170,1500,WTK
04/12/2023,170,170,170,170,200,WTK
04/06/2023,174,174,174,174,300,WTK
04/05/2023,170,174,162,162.75,27300,WTK
04/04/2023,170,170,170,170,2200,WTK
03/31/2023,165,165,165,165,100,WTK
03/24/2023,160,160,160,160,600,WTK
03/22/2023,160,160,160,160,800,WTK
03/21/2023,160,160,160,160,100,WTK
03/20/2023,150,150,150,150,200,WTK
03/17/2023,165,165,160,161,500,WTK
03/16/2023,160,160,160,160,1100,WTK
03/15/2023,160,160,160,160,800,WTK
03/14/2023,160,160,160,160,1300,WTK
03/10/2023,175,175,175,175,200,WTK
03/08/2023,175,177,175,176.25,2300,WTK
03/06/2023,175,175,175,175,100,WTK
03/03/2023,175,175,175,175,200,WTK
03/02/2023,175,175,175,175,600,WTK
03/01/2023,175,175,175,175,200,WTK
02/23/2023,179,179,179,179,300,WTK
02/22/2023,179,179,179,179,100,WTK
02/21/2023,175,175,175,175,100,WTK
02/20/2023,175,175,175,175,1500,WTK
02/16/2023,175,175,175,175,7100,WTK
02/15/2023,174.75,175,174.75,175,1000,WTK
02/14/2023,174,174,174,174,100,WTK
02/13/2023,174.75,174.75,174.5,174.75,300,WTK
02/10/2023,165,175,165,174.25,5600,WTK
02/09/2023,164,164,164,164,1500,WTK
02/08/2023,165,165,160,164.25,700,WTK
02/07/2023,165,165,165,165,1300,WTK
02/06/2023,165,165,165,165,800,WTK
02/03/2023,165,165,165,165,200,WTK
02/01/2023,175,175,175,175,200,WTK
01/31/2023,175,175,175,175,100,WTK
01/30/2023,175,175,175,175,300,WTK
01/27/2023,161,161,160,160.75,300,WTK
01/26/2023,155,155,155,155,300,WTK
01/25/2023,151,155,151,153,2200,WTK
01/24/2023,155,155,155,155,1700,WTK
01/23/2023,155,155,155,155,1300,WTK
01/20/2023,155,155,155,155,1000,WTK
01/19/2023,155,155,155,155,500,WTK
01/18/2023,155,155,154,154.25,600,WTK
01/17/2023,155,155,155,155,500,WTK
01/16/2023,155,155,155,155,200,WTK
01/13/2023,156,156,156,156,100,WTK
01/10/2023,160,160,155,156.25,800,WTK
01/09/2023,160,160,160,160,100,WTK
01/06/2023,160,160,160,160,200,WTK
01/05/2023,160,160,151,154.75,700,WTK
12/30/2022,160,160,160,160,700,WTK
12/29/2022,155,155,152,154.25,1200,WTK
12/28/2022,155,155,155,155,700,WTK
12/23/2022,155,155,150,152.5,200,WTK
12/21/2022,155,160,155,156.75,300,WTK
12/20/2022,155,155,155,155,200,WTK
12/16/2022,160,160,160,160,9600,WTK
12/15/2022,160,160,160,160,500,WTK
12/14/2022,160,160,160,160,1200,WTK
12/09/2022,160,160,160,160,200,WTK
12/08/2022,151,159,151,154.25,500,WTK
12/07/2022,150,150,150,150,200,WTK
12/01/2022,150,150,150,150,100,WTK
11/29/2022,145,145,145,145,600,WTK
11/24/2022,139,139,139,139,100,WTK
11/22/2022,150,150,150,150,200,WTK
11/18/2022,150,150,150,150,1000,WTK
11/17/2022,137,137,137,137,100,WTK
11/16/2022,150.25,151,150.25,151,6100,WTK
11/15/2022,151,151,151,151,100,WTK
11/11/2022,159,159,150.25,151,1100,WTK
11/10/2022,161.5,161.5,161.5,161.5,100,WTK
11/09/2022,161.5,161.5,161.5,161.5,500,WTK
11/08/2022,164,164,164,164,200,WTK
11/07/2022,164,164.5,164,164,800,WTK
11/03/2022,164.75,164.75,164.75,164.75,500,WTK
11/02/2022,165,165,161,161.75,1000,WTK
11/01/2022,165,165,164.5,164.75,400,WTK
10/28/2022,165,165,164,164.25,600,WTK
10/27/2022,164.75,164.75,164.75,164.75,100,WTK
10/26/2022,165,165,165,165,800,WTK
10/24/2022,166,166,164,165,800,WTK
10/19/2022,166,166,166,166,300,WTK
10/18/2022,166,167,166,166.25,2300,WTK
10/17/2022,167,167,167,167,200,WTK
10/14/2022,167,167,167,167,100,WTK
10/12/2022,168,168,168,168,2000,WTK
10/11/2022,168,168,168,168,300,WTK
10/07/2022,168,170,168,168.75,7300,WTK
10/06/2022,168,168,168,168,4200,WTK
10/05/2022,165,168,165,167.75,11000,WTK
10/04/2022,159,168,159,164.5,600,WTK
10/03/2022,159,159,159,159,1600,WTK
09/29/2022,162,162,162,162,100,WTK
09/27/2022,159,163,159,162.5,10700,WTK
09/26/2022,159,159,159,159,200,WTK
09/23/2022,164,164,159,161.5,400,WTK
09/22/2022,157,159,157,158.25,1000,WTK
09/21/2022,159,159,159,159,200,WTK
09/20/2022,159,159,159,159,100,WTK
09/19/2022,159,159,159,159,900,WTK
09/16/2022,159,159,159,159,100,WTK
09/15/2022,157.25,157.25,157.25,157.25,50000,WTK
09/14/2022,160,160,156.75,157,52100,WTK
09/12/2022,158,158,156.75,157,61400,WTK
09/09/2022,156.5,156.5,156.5,156.5,100,WTK
09/08/2022,155,157,155,156.5,2600,WTK
09/07/2022,155,155,155,155,400,WTK
09/06/2022,155,155,155,155,900,WTK
09/05/2022,155,155,155,155,100,WTK
09/02/2022,156.5,156.5,153,154.75,900,WTK
08/31/2022,160,160,153,156.5,200,WTK
08/29/2022,160,160,160,160,100,WTK
08/26/2022,152.25,152.5,152.25,152.5,300,WTK
08/25/2022,152,152,152,152,18000,WTK
08/24/2022,152,152,152,152,700,WTK
08/23/2022,152,152,151,151.75,400,WTK
08/22/2022,150,150.25,150,150.25,27300,WTK
08/19/2022,150,150,150,150,100,WTK
08/18/2022,154,154,150,152.75,1500,WTK
08/17/2022,150,150,150,150,5000,WTK
08/16/2022,154,154,154,154,100,WTK
08/15/2022,151,151,150,150,11200,WTK
08/12/2022,152,155,152,153.25,4500,WTK
08/11/2022,151,151,151,151,100,WTK
08/10/2022,151.25,151.25,151,151,1400,WTK
08/08/2022,151,152,151,151.25,20600,WTK
08/05/2022,151,151.25,151,151,2200,WTK
08/04/2022,152,152,151,151.25,15100,WTK
08/03/2022,151,152,151,151.5,212100,WTK
08/02/2022,151,152,151,151.75,34900,WTK
08/01/2022,152,152,150,151.5,21600,WTK
07/29/2022,150,155,150,152,6200,WTK
07/28/2022,152,152.5,150,151.5,11400,WTK
07/27/2022,151,157,150,152,13800,WTK
07/26/2022,150,150,150,150,1600,WTK
07/25/2022,152,152,150,150.75,2200,WTK
07/22/2022,154,154,148,149.75,2300,WTK
07/21/2022,148.25,153,148,148.25,4700,WTK
07/20/2022,150,150,147.25,148.25,2800,WTK
07/19/2022,145,145,145,145,100,WTK
07/18/2022,150,150,146,147.25,5300,WTK
07/15/2022,149.5,156,149.5,152.25,2600,WTK
07/14/2022,154,154,154,154,600,WTK
07/13/2022,152.75,157,147,149.5,3800,WTK
07/12/2022,151.25,157,145,152.75,2000,WTK
07/08/2022,149,157,149,151,2800,WTK
07/07/2022,144,144,142,142.75,3100,WTK
07/06/2022,140,143,140,142.75,3200,WTK
07/05/2022,140,140,140,140,4500,WTK
07/04/2022,138,138,138,138,800,WTK
07/01/2022,130,137,130,130.75,38600,WTK
06/30/2022,124,124,124,124,100,WTK
06/29/2022,129.5,129.5,129.5,129.5,400,WTK
06/27/2022,130,130,122,124.75,300,WTK
06/22/2022,129.5,129.5,129.5,129.5,2200,WTK
06/20/2022,125,125,125,125,300,WTK
06/16/2022,130,130,130,130,4700,WTK
06/15/2022,123,125,123,124,200,WTK
06/14/2022,122,122,122,122,100,WTK
06/13/2022,129.5,129.5,129.5,129.5,300,WTK
06/09/2022,120,120,120,120,100,WTK
06/08/2022,124,124,119,120,20500,WTK
06/07/2022,129,129,129,129,100,WTK
06/06/2022,127,128,127,127.5,200,WTK
06/02/2022,129.5,129.5,125,127.25,200,WTK
05/31/2022,126.5,129.5,126,126.5,8500,WTK
05/30/2022,126.5,126.5,126.25,126.5,2200,WTK
05/27/2022,129.75,129.75,129.75,129.75,200,WTK
05/26/2022,129.75,130,129.75,129.75,1100,WTK
05/25/2022,126,126,126,126,200,WTK
05/24/2022,130,130,129.75,130,1100,WTK
05/23/2022,130,130,130,130,1600,WTK
05/20/2022,126.5,130,120.25,124.25,500,WTK
05/19/2022,130,130,130,130,700,WTK
05/18/2022,130,130,130,130,600,WTK
05/17/2022,127,127,126.5,126.75,300,WTK
05/13/2022,126.75,126.75,126.5,126.75,300,WTK
05/10/2022,129,129,129,129,300,WTK
05/09/2022,130,130,125,126.25,1200,WTK
05/04/2022,125,125,120,124.5,1100,WTK
04/28/2022,130,130,130,130,100,WTK
04/27/2022,130,130,130,130,500,WTK
04/26/2022,130,130,130,130,1500,WTK
04/25/2022,133,133,133,133,400,WTK
04/22/2022,130,130,130,130,200,WTK
04/21/2022,133,133,133,133,400,WTK
04/20/2022,134,134,133,133.25,68500,WTK
04/14/2022,134,134,133,133.5,200,WTK
04/11/2022,134,134,134,134,100,WTK
04/06/2022,135,135,135,135,100,WTK
04/05/2022,135,135,135,135,300,WTK
04/04/2022,130.5,135,130.5,132.25,2100,WTK
03/31/2022,135,135,135,135,500,WTK
03/29/2022,130.5,130.5,130.5,130.5,100,WTK
03/28/2022,135,135,135,135,100,WTK
03/25/2022,135,135,135,135,200,WTK
03/24/2022,135,135,135,135,400,WTK
03/22/2022,135,135,135,135,200,WTK
03/21/2022,130,130,130,130,300,WTK
03/18/2022,130,130,130,130,100,WTK
03/17/2022,135,135,135,135,200,WTK
03/09/2022,130,130,130,130,100,WTK
03/08/2022,131,131,130,130,127100,WTK
03/04/2022,134.75,134.75,134.75,134.75,400,WTK
03/03/2022,131,131,131,131,1200,WTK
03/01/2022,131,131,131,131,100,WTK
02/25/2022,130.5,130.5,130.5,130.5,100,WTK
02/24/2022,130.5,130.5,130.5,130.5,900,WTK
02/23/2022,136,136,130.5,134.25,300,WTK
02/17/2022,133,137,133,136,1200,WTK
02/15/2022,132,132,125,129,1400,WTK
02/14/2022,131,131,131,131,200,WTK
02/11/2022,133,133,133,133,100,WTK
02/10/2022,134,134,134,134,100,WTK
02/09/2022,135,135,135,135,200,WTK
02/08/2022,131,131,130,130,27100,WTK
02/07/2022,135,135,135,135,2500,WTK
02/03/2022,136,136,129,130.25,6600,WTK
01/28/2022,135,135,135,135,300,WTK
01/27/2022,132,132,130,130.25,1500,WTK
01/26/2022,137,137,137,137,200,WTK
01/24/2022,130,130,130,130,1000,WTK
01/21/2022,135,135,135,135,300,WTK
01/19/2022,130,130,130,130,5800,WTK
01/18/2022,130.25,130.25,130,130,1600,WTK
01/17/2022,130.25,130.25,130.25,130.25,700,WTK
01/13/2022,130,130,130,130,1800,WTK
01/12/2022,130.5,130.5,130,130.25,1300,WTK
01/11/2022,130.5,137,130.5,134.75,300,WTK
01/10/2022,131.25,132,131.25,132,3600,WTK
01/07/2022,132,132,132,132,100,WTK
01/05/2022,135,135,130,130.75,1900,WTK
01/03/2022,132,132,132,132,15000,WTK
12/28/2021,130,130,130,130,100,WTK
12/24/2021,130.25,130.25,130.25,130.25,15000,WTK
12/23/2021,135,135,135,135,100,WTK
12/22/2021,138.5,138.5,138.5,138.5,100,WTK
12/21/2021,129,129,129,129,700,WTK
12/20/2021,138.5,138.5,138.5,138.5,600,WTK
12/07/2021,126,126,126,126,100,WTK
12/06/2021,129.25,129.25,126,127,400,WTK
12/02/2021,130,130,129,129.25,1000,WTK
12/01/2021,128,130,128,129,200,WTK
11/30/2021,131.25,131.25,130,130.25,700,WTK
11/26/2021,131,131,130,131,2400,WTK
11/24/2021,134,134,131,131.75,1300,WTK
11/23/2021,132,132,130,130.5,400,WTK
11/19/2021,134,134,134,134,1000,WTK
11/18/2021,137.5,137.5,137.5,137.5,100,WTK
11/16/2021,132.5,138,131,133.75,1600,WTK
11/15/2021,134,134,131,132,1200,WTK
11/12/2021,134,134,134,134,100,WTK
11/11/2021,134,134,134,134,300,WTK
11/09/2021,134,134,134,134,200,WTK
11/08/2021,138,138,138,138,400,WTK
11/04/2021,138,138,138,138,200,WTK
11/03/2021,138,138,138,138,200,WTK
11/02/2021,138,138,138,138,200,WTK
10/29/2021,138,138,138,138,100,WTK
10/28/2021,140,140,140,140,500,WTK
10/27/2021,132,132,132,132,100,WTK
10/22/2021,131,131,129,130.75,1800,WTK
10/21/2021,131,131,131,131,1800,WTK
10/15/2021,134,134,130,130.75,1500,WTK
10/14/2021,135,135,134,134.5,700,WTK
10/13/2021,135,135,135,135,300,WTK
10/12/2021,135,135,135,135,200,WTK
10/08/2021,137.75,137.75,135,135,7100,WTK
10/07/2021,135,140,135,137.5,200,WTK
10/06/2021,135,135,135,135,500,WTK
10/05/2021,139,140,139,139.5,4700,WTK
10/04/2021,140,140,139,139.25,800,WTK
10/01/2021,140,140,140,140,100,WTK
09/30/2021,139,139,139,139,300,WTK
09/28/2021,140,140,139,139.25,1400,WTK
09/27/2021,140,140,140,140,200,WTK
09/23/2021,138,138,138,138,400,WTK
09/21/2021,134,134,134,134,100,WTK
09/16/2021,140,140,140,140,100,WTK
09/14/2021,140,140,140,140,300,WTK
09/13/2021,139,142,139,141.25,600,WTK
09/09/2021,134,134,134,134,100,WTK
09/07/2021,144.5,144.5,140,142.25,200,WTK
09/06/2021,145,145,135.5,142.25,1400,WTK
09/02/2021,135,135,135,135,200,WTK
09/01/2021,135,135,135,135,300,WTK
08/30/2021,137,137,137,137,1000,WTK
08/25/2021,132.5,136,132.5,133.5,400,WTK
08/24/2021,133,133,132.5,132.75,200,WTK
08/23/2021,131.25,135.75,131.25,132.5,400,WTK
08/18/2021,131,131,131,131,200,WTK
08/17/2021,135,135,135,135,400,WTK
08/16/2021,131,131,131,131,100,WTK
08/13/2021,136,136,130,130.75,4500,WTK
08/12/2021,137,137,137,137,1000,WTK
08/10/2021,134.5,135,134.5,134.75,3500,WTK
08/09/2021,134.5,134.5,134.5,134.5,300,WTK
08/06/2021,134.5,134.5,134.5,134.5,1200,WTK
08/05/2021,134.5,134.5,134.5,134.5,700,WTK
08/04/2021,135,135,135,135,6800,WTK
